epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,4326.52,1.62939,0.75998,0.84353,0.73807,0.89692,0.81826,0.37525,1.92749,0.87876,0.92057,0.0017327,0.0017327,0.0017327
137,4357.8,1.67876,0.79729,0.84708,0.83825,0.72727,0.81391,0.38098,1.87971,0.93201,0.91429,0.00173072,0.00173072,0.00173072
138,4389.68,1.67577,0.79717,0.85675,0.79066,0.85857,0.7977,0.38468,2.01578,1.01512,0.9293,0.00172874,0.00172874,0.00172874
139,4421.68,1.71974,0.83301,0.84732,0.80617,0.75671,0.82234,0.37855,2.02155,1.10165,0.93467,0.00172676,0.00172676,0.00172676
140,4453.2,1.63201,0.77249,0.85477,0.77172,0.76849,0.76962,0.37564,1.90451,1.1256,0.91462,0.00172478,0.00172478,0.00172478
141,4484.43,1.59428,0.74182,0.82496,0.89405,0.76736,0.82579,0.39189,1.94877,1.05675,0.92464,0.0017228,0.0017228,0.0017228
142,4516.25,1.63923,0.79687,0.85757,0.86083,0.77273,0.83213,0.38431,2.23183,1.0735,0.96755,0.00172082,0.00172082,0.00172082
143,4547.78,1.51488,0.77575,0.81163,0.93747,0.68151,0.82022,0.36186,2.24844,1.08078,0.96031,0.00171884,0.00171884,0.00171884
144,4579.05,1.57575,0.75274,0.83269,0.88787,0.72021,0.82599,0.31724,2.32421,1.11776,0.96997,0.00171686,0.00171686,0.00171686
145,4610.19,1.60875,0.84996,0.84528,0.88843,0.72408,0.80632,0.28702,2.35509,1.10284,0.95542,0.00171488,0.00171488,0.00171488
146,4641.61,1.61577,0.7486,0.83969,0.829,0.66172,0.74985,0.31862,2.05907,0.98009,0.91735,0.0017129,0.0017129,0.0017129
147,4672.79,1.53958,0.70295,0.82326,0.8485,0.76407,0.79492,0.35958,1.92051,0.83703,0.89487,0.00171092,0.00171092,0.00171092
148,4703.95,1.57089,0.76039,0.85053,0.82748,0.72727,0.80698,0.37378,1.95353,0.82177,0.90086,0.00170894,0.00170894,0.00170894
149,4735.25,1.54139,0.70052,0.85317,0.87177,0.72727,0.84227,0.35487,2.34649,1.09765,0.96411,0.00170696,0.00170696,0.00170696
150,4766.41,1.53163,0.7485,0.82016,0.85901,0.68182,0.84709,0.34723,2.29698,0.97931,0.95091,0.00170498,0.00170498,0.00170498
