epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2683.5,1.53802,0.90001,0.86434,0.93728,0.67943,0.78423,0.30199,2.24607,1.27579,0.9454,0.0003764,0.0003764,0.0003764
84,2716.37,1.69426,1.0138,0.85934,0.93438,0.68182,0.78429,0.32263,2.20848,1.25923,0.93979,0.0003566,0.0003566,0.0003566
85,2748.09,1.65373,1.00616,0.85477,0.93729,0.6795,0.78525,0.33982,2.01604,1.18435,0.92123,0.0003368,0.0003368,0.0003368
86,2781.03,1.62304,1.00322,0.8366,0.83456,0.77273,0.78857,0.35139,2.00221,1.16242,0.9194,0.000317,0.000317,0.000317
87,2814.14,1.54385,0.93326,0.83346,0.89403,0.76722,0.79066,0.3571,2.02812,1.19027,0.9244,0.0002972,0.0002972,0.0002972
88,2846.27,1.63304,0.93743,0.84646,0.89159,0.74823,0.79072,0.36946,2.03866,1.22194,0.92926,0.0002774,0.0002774,0.0002774
89,2879.08,1.57162,0.98033,0.83454,0.94079,0.72255,0.78875,0.35041,2.06987,1.23941,0.93374,0.0002576,0.0002576,0.0002576
90,2911.54,1.57902,0.90115,0.85239,0.94086,0.72332,0.77958,0.33789,2.15436,1.26711,0.9421,0.0002378,0.0002378,0.0002378
91,2944.41,1.6033,1.08028,0.85197,0.94055,0.71955,0.78565,0.33757,2.26253,1.29564,0.95058,0.000218,0.000218,0.000218
92,2975.89,1.53348,0.97574,0.82751,0.87232,0.72727,0.78772,0.31814,2.27087,1.29037,0.9457,0.0001982,0.0001982,0.0001982
93,3008.29,1.51237,0.97337,0.84879,0.87933,0.72727,0.78264,0.31795,2.19608,1.2644,0.93709,0.0001784,0.0001784,0.0001784
94,3040.34,1.55832,1.01731,0.85226,0.94059,0.72,0.79647,0.34603,1.96797,1.1854,0.91606,0.0001586,0.0001586,0.0001586
95,3073.28,1.56806,1.00216,0.8566,0.94082,0.72288,0.80089,0.36077,1.89588,1.15906,0.91014,0.0001388,0.0001388,0.0001388
96,3104.85,1.63134,0.99441,0.84495,0.94093,0.72426,0.80451,0.36384,1.90146,1.16281,0.91089,0.000119,0.000119,0.000119
97,3137.28,1.57516,1.00104,0.82991,0.94085,0.72327,0.80304,0.35588,2.01243,1.21187,0.92128,9.92e-05,9.92e-05,9.92e-05
98,3169.11,1.56787,0.95252,0.82785,0.94085,0.72323,0.8023,0.34645,2.06201,1.22867,0.92496,7.94e-05,7.94e-05,7.94e-05
99,3202.36,1.53263,0.92606,0.8465,0.94085,0.72324,0.79763,0.33636,2.17254,1.27549,0.93432,5.96e-05,5.96e-05,5.96e-05
100,3234.66,1.52089,0.92932,0.83488,0.94081,0.72279,0.79861,0.33907,2.18241,1.27281,0.9348,3.98e-05,3.98e-05,3.98e-05
